Site,Sku (Sykes),Sku (Magento),Product Title,Stock,Product Type,Size,Format,Cover,Material,Colour
Consumer,BB7918,7918,Busy B - List Pad (Fashion),574,List Pads,Small,,,Paper,Multi
Consumer,BB6584,6584,Baby B - Baby Journal (Neutral),573,Planners & Organisers,Large,,Soft Cover,Paper,Yellow
Consumer,BB7994,7994,Busy B - Cord Keepers (Fashion),565,Accessories,Small,,,Faux Leather,Multi
Consumer,BB7345,7345,Bride to B - Wedding Planner (New Heart),561,Planners & Organisers,Large,,Hard Cover,Paper,White
Consumer,BB7000,7000,Busy B - Gift Wrap Bag (Contemp),552,Accessories,Medium,,,,Blue
Consumer,BB9059,9059,Busy B - Busy Life Notebook - A5 Navy,544,Notebook,Medium,,Hard Cover,Faux Leather,Navy
Consumer,BB6485,6485,Busy B - Luggage Tags (Fashion),544,Purses & Wallets,Small,,,Faux Leather,Blue
Consumer,BB9509,9509,A6 To Do Diary ,534,Diaries,Small,Week to View,Hard Cover,Paper,Multi
Consumer,BB0324,0324,Stickers ,531,Stickers & Notes,Small,,,,Multi
Consumer,BB8830,8830,Busy B - Password Book Leopard (Safari Nights),530,Planners & Organisers,Small,,Hard Cover,Paper,Blue
Consumer,BB7697,7697,Busy B - Christmas Card Tree,521,Planners & Organisers,Large,,,Paper,Gold
Consumer,BB5877,5877,Busy B - Wrap-Around Reminders (Pretty),520,Accessories,Small,,,Paper,White
Consumer,BB6591,6591,Baby B - Pregnancy Journal,474,Planners & Organisers,Medium,,Hard Cover,Paper,Grey
Consumer,BB7840,7840,Busy B - Purse (Fashion),472,Purses & Wallets,Small,,,Faux Leather,Navy
